n,b,Constant
713,"(1, 3, 5, 9, 14, 22, 34, 50, 74, 109, 160, 232)",0.49639
714,"(1, 3, 5, 9, 14, 22, 34, 50, 74, 110, 160, 232)",0.49639
715,"(1, 3, 5, 9, 14, 22, 34, 50, 75, 110, 160, 232)",0.49640
716,"(1, 3, 5, 9, 14, 22, 34, 50, 75, 110, 160, 233)",0.49640
717,"(1, 3, 5, 9, 14, 22, 34, 50, 75, 110, 161, 233)",0.49641
718,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 110, 161, 233)",0.49641
719,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 110, 161, 234)",0.49642
720,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 161, 234)",0.49642
721,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 162, 234)",0.49643
722,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 162, 235)",0.49643
723,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 75, 111, 162, 235)",0.49644
724,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 111, 162, 235)",0.49644
725,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 111, 162, 236)",0.49645
726,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 111, 163, 236)",0.49645
727,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 112, 163, 236)",0.49645
728,"(1, 1, 3, 5, 9, 14, 23, 34, 51, 76, 112, 163, 236)",0.49646
729,"(1, 1, 3, 5, 9, 14, 23, 34, 51, 76, 112, 163, 237)",0.49646
730,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76, 112, 163, 237)",0.49647
731,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76, 112, 164, 237)",0.49647
732,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76, 112, 164, 238)",0.49648
733,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 76, 112, 164, 238)",0.49648
734,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 112, 164, 238)",0.49649
735,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 113, 164, 238)",0.49649
736,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 113, 164, 239)",0.49650
737,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 113, 165, 239)",0.49650
738,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 113, 165, 239)",0.49650
739,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 113, 165, 240)",0.49651
740,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 113, 166, 240)",0.49651
741,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 114, 166, 240)",0.49652
742,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 114, 166, 241)",0.49652
743,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 78, 114, 166, 241)",0.49653
744,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78, 114, 166, 241)",0.49653
745,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78, 114, 166, 242)",0.49653
746,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78, 114, 167, 242)",0.49654
747,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 114, 167, 242)",0.49654
748,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 115, 167, 242)",0.49655
749,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 115, 167, 243)",0.49655
