n,b,Constant
160,"(1, 2, 4, 6, 10, 16, 25, 38, 58)",0.48552
161,"(1, 2, 4, 6, 10, 16, 25, 39, 58)",0.48561
162,"(1, 2, 4, 6, 10, 16, 26, 39, 58)",0.48569
163,"(1, 2, 4, 6, 10, 17, 26, 39, 58)",0.48577
164,"(1, 2, 4, 6, 10, 17, 26, 39, 59)",0.48585
165,"(1, 2, 4, 6, 11, 17, 26, 39, 59)",0.48593
166,"(1, 2, 4, 6, 11, 17, 26, 40, 59)",0.48601
167,"(1, 2, 4, 6, 11, 17, 26, 40, 60)",0.48609
168,"(1, 2, 4, 6, 11, 17, 27, 40, 60)",0.48616
169,"(1, 2, 4, 7, 11, 17, 27, 40, 60)",0.48624
170,"(1, 2, 4, 7, 11, 17, 27, 41, 60)",0.48631
171,"(1, 2, 4, 7, 11, 17, 27, 41, 61)",0.48639
172,"(1, 2, 4, 7, 11, 18, 27, 41, 61)",0.48646
173,"(1, 2, 4, 7, 11, 18, 27, 41, 62)",0.48653
174,"(1, 2, 4, 7, 11, 18, 27, 42, 62)",0.48660
175,"(1, 2, 4, 7, 11, 18, 28, 42, 62)",0.48667
176,"(1, 2, 4, 7, 11, 18, 28, 42, 63)",0.48674
177,"(1, 2, 4, 7, 12, 18, 28, 42, 63)",0.48681
178,"(1, 2, 4, 7, 12, 18, 28, 43, 63)",0.48688
179,"(1, 2, 4, 7, 12, 18, 28, 43, 64)",0.48694
180,"(1, 2, 4, 7, 12, 19, 28, 43, 64)",0.48701
181,"(1, 2, 4, 7, 12, 19, 29, 43, 64)",0.48707
182,"(1, 2, 4, 7, 12, 19, 29, 43, 65)",0.48714
183,"(1, 2, 4, 7, 12, 19, 29, 44, 65)",0.48720
184,"(1, 2, 4, 8, 12, 19, 29, 44, 65)",0.48726
185,"(1, 2, 4, 8, 12, 19, 29, 44, 66)",0.48733
186,"(1, 2, 4, 8, 12, 19, 30, 44, 66)",0.48738
187,"(1, 2, 4, 8, 12, 19, 30, 45, 66)",0.48744
188,"(1, 2, 5, 8, 12, 19, 30, 45, 66)",0.48750
189,"(1, 2, 5, 8, 12, 19, 30, 45, 67)",0.48757
190,"(1, 2, 5, 8, 12, 20, 30, 45, 67)",0.48763
191,"(1, 2, 5, 8, 12, 20, 30, 45, 68)",0.48768
192,"(1, 2, 5, 8, 13, 20, 30, 45, 68)",0.48774
193,"(1, 2, 5, 8, 13, 20, 30, 46, 68)",0.48780
194,"(1, 2, 5, 8, 13, 20, 31, 46, 68)",0.48786
195,"(1, 2, 5, 8, 13, 20, 31, 46, 69)",0.48792
196,"(1, 3, 5, 8, 13, 20, 31, 46, 69)",0.48797
197,"(1, 3, 5, 8, 13, 20, 31, 47, 69)",0.48803
198,"(1, 3, 5, 8, 13, 20, 31, 47, 70)",0.48809
199,"(1, 3, 5, 8, 13, 21, 31, 47, 70)",0.48814
200,"(1, 3, 5, 8, 13, 21, 32, 47, 70)",0.48819
201,"(1, 3, 5, 8, 13, 21, 32, 47, 71)",0.48825
202,"(1, 3, 5, 8, 13, 21, 32, 48, 71)",0.48830
203,"(1, 3, 5, 8, 13, 21, 32, 48, 72)",0.48835
204,"(1, 3, 5, 8, 14, 21, 32, 48, 72)",0.48841
205,"(1, 3, 5, 8, 14, 21, 32, 49, 72)",0.48846
206,"(1, 3, 5, 8, 14, 21, 33, 49, 72)",0.48851
207,"(1, 3, 5, 8, 14, 21, 33, 49, 73)",0.48856
208,"(1, 3, 5, 9, 14, 21, 33, 49, 73)",0.48861
209,"(1, 3, 5, 9, 14, 22, 33, 49, 73)",0.48866
210,"(1, 3, 5, 9, 14, 22, 33, 49, 74)",0.48871
211,"(1, 3, 5, 9, 14, 22, 33, 50, 74)",0.48876
212,"(1, 3, 5, 9, 14, 22, 34, 50, 74)",0.48881
213,"(1, 3, 5, 9, 14, 22, 34, 50, 75)",0.48885
214,"(1, 3, 5, 9, 14, 22, 34, 51, 75)",0.48890
215,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 75)",0.48895
216,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76)",0.48899
217,"(1, 1, 3, 5, 9, 14, 23, 34, 51, 76)",0.48904
218,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76)",0.48908
219,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 76)",0.48913
220,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77)",0.48917
221,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77)",0.48922
222,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 78)",0.48926
223,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78)",0.48931
224,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78)",0.48935
225,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 79)",0.48940
226,"(1, 1, 3, 6, 9, 15, 23, 36, 53, 79)",0.48944
227,"(1, 1, 3, 6, 9, 15, 24, 36, 53, 79)",0.48948
228,"(1, 1, 3, 6, 9, 15, 24, 36, 54, 79)",0.48952
229,"(1, 1, 3, 6, 9, 15, 24, 36, 54, 80)",0.48957
230,"(1, 1, 3, 6, 10, 15, 24, 36, 54, 80)",0.48961
231,"(1, 1, 3, 6, 10, 15, 24, 36, 54, 81)",0.48965
232,"(1, 1, 3, 6, 10, 15, 24, 36, 55, 81)",0.48969
233,"(1, 1, 3, 6, 10, 15, 24, 37, 55, 81)",0.48973
234,"(1, 1, 3, 6, 10, 16, 24, 37, 55, 81)",0.48977
235,"(1, 1, 3, 6, 10, 16, 24, 37, 55, 82)",0.48981
236,"(1, 2, 3, 6, 10, 16, 24, 37, 55, 82)",0.48985
237,"(1, 2, 3, 6, 10, 16, 24, 37, 56, 82)",0.48989
238,"(1, 2, 3, 6, 10, 16, 24, 37, 56, 83)",0.48993
239,"(1, 2, 3, 6, 10, 16, 25, 37, 56, 83)",0.48997
240,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 83)",0.49001
241,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 84)",0.49005
242,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 84)",0.49009
243,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 85)",0.49012
244,"(1, 2, 4, 6, 10, 16, 25, 38, 57, 85)",0.49016
245,"(1, 2, 4, 6, 10, 16, 25, 38, 58, 85)",0.49020
246,"(1, 2, 4, 6, 10, 16, 25, 39, 58, 85)",0.49023
247,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 85)",0.49027
248,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 86)",0.49031
249,"(1, 2, 4, 6, 10, 17, 26, 39, 58, 86)",0.49034
250,"(1, 2, 4, 6, 10, 17, 26, 39, 59, 86)",0.49038
251,"(1, 2, 4, 6, 10, 17, 26, 39, 59, 87)",0.49041
252,"(1, 2, 4, 6, 11, 17, 26, 39, 59, 87)",0.49045
253,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 87)",0.49049
254,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 88)",0.49052
255,"(1, 2, 4, 6, 11, 17, 26, 40, 60, 88)",0.49055
256,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 88)",0.49059
257,"(1, 2, 4, 6, 11, 17, 27, 40, 60, 89)",0.49062
258,"(1, 2, 4, 7, 11, 17, 27, 40, 60, 89)",0.49066
259,"(1, 2, 4, 7, 11, 17, 27, 41, 60, 89)",0.49069
260,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 89)",0.49072
261,"(1, 2, 4, 7, 11, 17, 27, 41, 61, 90)",0.49076
262,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 90)",0.49079
263,"(1, 2, 4, 7, 11, 18, 27, 41, 61, 91)",0.49082
264,"(1, 2, 4, 7, 11, 18, 27, 41, 62, 91)",0.49086
265,"(1, 2, 4, 7, 11, 18, 27, 42, 62, 91)",0.49089
266,"(1, 2, 4, 7, 11, 18, 27, 42, 62, 92)",0.49092
267,"(1, 2, 4, 7, 11, 18, 28, 42, 62, 92)",0.49095
268,"(1, 2, 4, 7, 11, 18, 28, 42, 63, 92)",0.49098
269,"(1, 2, 4, 7, 11, 18, 28, 42, 63, 93)",0.49101
270,"(1, 2, 4, 7, 12, 18, 28, 42, 63, 93)",0.49104
271,"(1, 2, 4, 7, 12, 18, 28, 43, 63, 93)",0.49107
272,"(1, 2, 4, 7, 12, 18, 28, 43, 63, 94)",0.49110
273,"(1, 2, 4, 7, 12, 18, 28, 43, 64, 94)",0.49113
